,counts,words,translations
0,8935452,the,die
1,5046453,of,von
2,4858750,and,und
3,3962396,to,zu
4,1712166,that,dem
5,1633535,he,er
6,1472478,was,war
7,1418407,it,es
8,1299927,his,seine
9,1221896,with,mit
10,1133684,you,ihnen
11,1130595,as,als
12,1125543,for,für
13,1097403,is,ist
14,881395,had,hatte
15,871409,not,nicht
16,814565,or,oder
17,810894,be,sein
18,791333,on,auf
19,789954,at,unter
20,787320,but,sondern
21,773163,by,von
22,763373,her,ihre
23,688819,this,diese
24,658706,which,die
25,644169,have,haben
26,641119,she,sie
27,632189,from,von
28,618561,him,ihm
29,616086,my,meine
30,607619,they,sie
31,600762,all,alle
32,517532,me,ich
33,483627,one,ein
34,482922,were,waren
35,474774,are,sind
36,452807,an,ein
37,437132,we,wir
38,435393,said,sagte
39,416456,their,ihre
40,404460,no,keine
41,397014,if,wenn
42,392500,there,es
43,378515,who,die
44,372500,when,wenn
45,371378,them,sie
46,345932,will,wird
47,339539,would,würde
48,336825,what,was
49,310956,been,gewesen
50,299176,out,aus
51,287055,do,tun
52,285241,up,auf
53,283573,your,ihre
54,277537,more,mehr
55,270252,man,mann
56,266293,then,dann
57,258850,any,jede
58,258108,into,in
59,252939,see,siehe
60,247354,now,jetzt
61,234015,some,einige
62,232330,other,andere
63,230011,could,könnte
64,226722,upon,auf
65,221553,like,wie
66,217059,has,hat
67,216963,time,zeit
68,215877,about,über
69,215567,than,als
70,209153,very,sehr
71,206497,our,unser
72,199774,may,kann
73,192956,little,wenig
74,192548,can,kann
75,190197,its,seine
76,189047,only,nur
77,182352,did,hat
78,180047,such,solche
79,179668,us,uns
80,178540,shall,soll
81,177307,these,diese
82,175797,before,vor
83,174576,made,gemacht
84,174376,two,zwei
85,172815,well,gut
86,171072,good,gut
87,168557,great,großartig
88,166037,know,kennen
89,164607,over,über
90,163429,after,nach
91,163349,must,muss
92,160996,should,sollte
93,160080,come,kommen
94,159345,how,wie
95,158692,down,runter
96,153008,first,erste
97,151849,project,projekt
98,151009,work,arbeit
99,150468,old,alt
100,150117,day,tag
101,147672,where,wo
102,147233,men,männer
103,144898,much,viel
104,143480,never,nie
105,140885,here,hier
106,139203,go,gehen
107,137828,came,kam
108,136030,way,weg
109,133147,life,leben
110,131799,own,eigene
111,131642,most,meisten
112,130310,make,machen
113,129405,am,bin
114,129237,long,lang
115,129012,say,sagen
116,127729,himself,sich
117,127005,without,ohne
118,124992,again,wieder
119,124230,through,durch
120,124112,being,zu sein
121,122947,those,die
122,120148,back,zurück
123,119064,might,könnte
124,118917,even,sogar
125,118323,many,viele
126,116803,under,unter
127,113968,too,zu
128,113487,people,menschen
129,112299,away,weg
130,108383,went,ging
131,107623,every,jede
132,107498,thou,du
133,106274,think,denke
134,105837,also,auch
135,105002,yet,doch
136,104482,take,nimm
137,104443,eyes,augen
138,103856,house,haus
139,102978,still,noch
140,100413,same,dasselbe
141,100176,place,ort
142,99350,last,zuletzt
143,99201,thought,dachte
144,98200,let,lassen
145,97907,new,neu
146,97546,while,während
147,97124,just,nur
148,95216,found,gefunden
149,92351,things,dinge
150,91662,head,kopf
151,91618,lord,fürst
152,91295,another,eine weitere
153,90917,nothing,nichts
154,90279,though,obwohl
155,90071,give,gib
156,89952,young,junge
157,89324,night,nacht
158,89117,right,rechts
159,88244,king,könig
160,87526,love,liebe
161,87428,face,gesicht
162,86581,off,aus
163,86532,god,gott
164,86464,world,welt
165,86211,sir,herr
166,86006,years,jahre
167,85816,ever,immer
168,85484,against,gegen
169,85238,three,drei
170,84319,saw,sah
171,84303,once,einmal
172,83086,thy,deine
173,82081,get,erhalten
174,81662,part,teil
