,words,counts
0,the,97610637.0
1,of,53398576.0
2,and,49690611.0
3,to,41598817.0
4,in,28164400.0
5,that,17876348.0
6,he,16409056.0
7,was,16138734.0
8,it,15277800.0
9,his,13308464.0
10,with,12688318.0
11,is,12137479.0
12,for,12027888.0
13,as,11574351.0
14,you,11365501.0
15,had,9624733.0
16,not,9205548.0
17,on,9124196.0
18,be,8950574.0
19,at,8748630.0
20,but,8605714.0
21,by,8330943.0
22,her,8014765.0
23,this,7752532.0
24,which,7002439.0
25,or,6989974.0
26,have,6730515.0
27,from,6696223.0
28,she,6577908.0
29,de,6527380.0
30,they,6410350.0
31,all,6317389.0
32,him,6017864.0
33,were,5327223.0
34,are,5250324.0
35,my,5236169.0
36,we,5094828.0
37,so,4970786.0
38,me,4897657.0
39,one,4862136.0
40,no,4559544.0
41,their,4492388.0
42,an,4322362.0
43,if,4303159.0
44,there,4142762.0
45,said,4069769.0
46,who,3915561.0
47,when,3873964.0
48,them,3862968.0
49,would,3762965.0
50,been,3668316.0
51,will,3611099.0
52,what,3339832.0
53,do,3168008.0
54,la,3115069.0
55,out,3063303.0
56,up,3035430.0
57,any,3009899.0
58,more,2902209.0
59,then,2804498.0
60,your,2638326.0
61,into,2637525.0
62,some,2541253.0
63,now,2523924.0
64,man,2522430.0
65,has,2521526.0
66,could,2503413.0
67,other,2465218.0
68,our,2447135.0
69,about,2384950.0
70,very,2361786.0
71,time,2345088.0
72,than,2310152.0
73,et,2281244.0
74,its,2278175.0
75,may,2229199.0
76,project,2222603.0
77,upon,2202211.0
78,only,2146052.0
79,le,2136478.0
80,en,2095896.0
81,like,2095598.0
82,little,2076680.0
83,can,2038915.0
84,see,1983042.0
85,work,1976618.0
86,these,1948556.0
87,did,1937811.0
88,such,1920517.0
89,two,1910917.0
90,que,1907410.0
91,before,1862094.0
92,well,1856451.0
93,great,1848419.0
94,made,1847471.0
95,should,1843851.0
96,after,1840419.0
97,must,1829225.0
98,us,1822077.0
99,over,1812603.0
100,good,1734913.0
101,know,1655745.0
102,men,1648647.0
103,first,1642934.0
104,how,1637016.0
105,much,1622454.0
106,down,1621547.0
107,day,1605073.0
108,where,1590224.0
109,come,1569133.0
110,mr,1569077.0
111,old,1568272.0
112,never,1460793.0
113,most,1455091.0
114,les,1432175.0
115,way,1430465.0
116,those,1410926.0
117,here,1410816.0
118,life,1390355.0
119,long,1371853.0
120,go,1370013.0
121,own,1366076.0
122,came,1365821.0
123,tm,1361839.0
124,without,1361794.0
125,shall,1346728.0
126,even,1320105.0
127,through,1310357.0
128,himself,1303531.0
129,make,1297838.0
130,many,1296406.0
131,il,1273279.0
132,being,1248397.0
133,say,1244971.0
