,translations
0,die
1,von
2,und
3,zu
4,in
5,dass
6,er
7,war
8,es
9,seine
10,mit
11,Sie
12,als
13,für
14,ist
15,hatte
16,nicht
17,oder
18,sein
19,auf
20,unter
21,sondern
22,von
23,ihre
24,diese
25,die
26,haben
27,sie
28,von
29,er
30,meine
31,sie
32,alle
33,ich
34,eine
35,waren
36,also
37,sind
38,eine
39,wir
40,sagte
41,ihre
42,keine
43,wenn
44,dort
45,die
46,wenn
47,sie
48,wird
49,würde
50,was
51,wurde
52,aus
53,tun
54,auf
55,Ihr
56,mehr
57,man
58,dann
59,jede
60,in
61,siehe
62,jetzt
63,einige
64,andere
65,könnte
66,auf
67,wie
68,hat
69,Zeit
70,über
71,als
72,sehr
73,unser
74,Mai
75,wenig
76,kann
77,seine
78,nur
79,hat
80,wie
81,us
82,soll
83,diese
84,vor
85,gemacht
86,zwei
87,gut
88,gut
89,großartig
90,wissen
91,über
92,nach
93,muss
94,sollte
95,kommen
96,wie
97,unten
98,gutenberg
99,erste
100,Projekt
101,Arbeit
102,alt
103,Tag
104,wobei
105,Männer
106,viel
107,niemals
108,hier
109,gehen.
110,kam
111,Weg
112,Leben
113,eigene
114,
115,machen.
116,Herr
117,
118,lang
119,sagen
120,selbst
121,ohne
122,wieder
123,über
124,unter
125,die
126,zurück
127,könnte
128,sogar
129,viele
130,unter
131,zu
132,Menschen
133,Hand
134,weg
135,ging
136,
137,du
138,denken
139,
140,de
141,dennoch
142,Nehmen Sie
143,Augen
144,Haus
145,immer noch
146,dieselbe
147,
148,zuletzt
149,Gedanken
150,lassen Sie
151,neu
152,während
153,nur
154,gefunden
155,Dinge
156,Kopf
157,Fürst
158,tm
159,eine andere
160,nichts
161,obwohl
162,geben.
163,junge
164,Nacht
165,rechts
166,König
167,Liebe
168,Gesicht
169,aus
170,Gott
171,Welt
172,Herr
173,Jahre
174,immer
175,gegen
176,drei
177,siehe
178,einmal
179,dein
180,erhalten.
181,Teil
182,sagen
183,links
184,setzen.
185,denn
186,nahm
187,siehe
188,jede
189,warum
190,genannt.
191,Name
192,Geist
193,Vater
194,Sache
195,Herz
196,siehe
197,mit
198,Zimmer
199,einstellen.
200,weit
201,zwischen
202,immer
203,Frau
204,vollständig
205,Seite
206,Werke
207,beide
208,schien
209,verwenden.
210,hat
211,gehört
212,Die
213,die
214,etwas
215,noch
216,fertig
217,Frau
218,Tage
219,
220,Staat
221,fragte
222,unter
223,Ende
224,wenige
225,finden.
226,besser
227,gesehen
228,sagte
229,Tür
230,Licht
231,klein
232,Hände
233,
234,
235,halb
236,gebraucht
237,Wasser
238,also
239,Tod
240,Moment
241,
242,Mutter
243,genug
244,Wort
245,Startseite
246,ganz
247,seit
248,weiß
249,Land
250,Sohn
251,ziemlich
252,arm
253,mich
254,bald
255,gedreht.
256,Kurs
257,gab
258,Dame
259,Stimme
260,fast
261,wollen
262,deren
263,innerhalb
264,begann
265,nächste
266,rund
267,brachte
268,kann nicht
269,Geld
270,alles
271,Gesetz
272,Formular
273,tut
274,hoch
275,freundlich
276,Macht
277,zusammen
278,jedoch
279,stand
280,ja
281,allgemein
282,
283,Luft
284,Kinder
285,eher
286,bis
287,bestimmte
288,wahr
289,weniger
290,Morgen
291,bis
292,am besten
293,elektronisch
294,Meer
295,andere
296,liebe
297,gegeben
298,Miss
299,
300,Freund
301,hören
302,Materie
303,
304,Staaten
305,Bedingungen
306,la
307,
308,Person
309,selbst
310,Jahr
311,oh
312,genommen
313,groß
314,nicht
315,oft
316,Erde
317,Körper
318,
319,weiter
320,in der Tat
321,Füße
322,hundert
323,siehe
324,
325,sprechen
326,über
327,Frau
328,vier
329,schwarz
330,allein
331,
332,gegangen
333,Natur
334,zweite
335,mal
336,bedeutet
337,selbst
338,tot
339,
340,Stiftung
341,öffnen
342,lesen
343,Gegenwart
344,in der Nähe von
345,fünf
346,an
347,
348,legen
349,Mädchen
350,vgl.
351,Punkt
352,Hilfe
353,Kind
354,daher
355,rot
356,Fall
357,bekannt
358,verlassen.
359,entlang
360,gehalten
361,sicher
362,bestanden
363,Hoffnung
364,sagt
365,Art und Weise
366,glauben
367,hinter
368,gesendet
369,Rest
370,antwortete
371,
372,Bestellung
373,Frauen
374,antwortete
375,kostenlos
376,Tausend
377,Unternehmen
378,bereits
379,Junge
380,return
381,aufrufen
382,Krieg
383,
384,satt
385,hat
386,am wenigsten
387,
388,obs
389,mehrere
390,ob
391,Tatsache
392,Freunde
393,Nummer
394,
395,ll
396,live
397,verloren
398,Seele
399,kurz
400,vereinigt
401,Partei
402,Kunst
403,Angst
404,während
405,erhalten
406,Meister
407,Arme
408,Herstellung von
409,Vereinbarung
410,Rose
411,kommend
412,fallen
413,Alter
414,mittlere
415,Grund
416,keine
417,drehen.
418,hart
419,manchmal
420,Stadt
421,Blut
422,Wunsch
423,Kapitel
424,Familie
425,Buch
426,wirklich
427,Schreiben
428,halten
429,handeln
430,stark
431,
432,bringen
433,werden.
434,Wahrheit
435,
436,menschlich
437,Pferd
438,
439,
440,wurde
441,Bruder
442,Sonne
443,gemeinsame
444,Ansicht
445,zwanzig
446,
447,Sinn
448,zurückgegeben
449,gegenüber
450,sortieren
451,Pflege
452,um
453,Auge
454,zehn
455,
456,verschiedene
457,Englisch
458,gehalten
459,
460,Geist
461,Regierung
462,Frage
463,Messe
464,fragen Sie
465,john
466,verstehen.
467,
468,sonst
469,plötzlich
470,est
471,Copyright
472,anzeigen
473,Abend
474,seltsam
475,Gold
476,Kraft
477,unter
478,
479,Klang
480,sprechen
481,brauchen
482,Kirche
483,Gesetze
484,Satz
485,Fluss
486,weder
487,Thema
488,Lizenz
489,gefolgt von
490,alles
491,fähig
492,niedrig
493,fr
494,bereit
495,über
496,Zeile
497,und
498,traf
499,Kapitän
500,Gericht
501,Zweifel
502,Vergangenheit
503,Himmel
504,Stand
505,möglich
506,
507,Pass
508,kopieren.
509,unter
510,
511,Spenden
512,
513,fein
514,tief
515,Haare
516,Informationen
517,Dienstleistung
518,Straße
519,Idee
520,
521,natürlich
522,ändern
523,Speiche
524,außer
525,Mitstreiter
526,länger
527,Literatur
528,kalt
529,einschließlich
530,erinnern Sie sich an
531,schön
532,Wind
533,Herbst
534,le
535,jenseits von
536,
537,bezahlt
538,selbst
539,schneiden
540,glücklich
541,leben
542,laufen.
543,erschienen
544,gr
545,Straße
546,früh
547,später
548,unter
549,england
550,Zweck
551,eingeben.
552,scheint
553,treffen
554,Gentleman
555,zu
556,Zeichen
557,Süden
558,Es ist
559,bitte
560,groß
561,Frieden
562,Interesse
563,weiter
564,unter
565,Chef
566,schlecht
567,Büro
568,Ehemann
569,Fenster
570,Fortsetzung
571,real
572,"angenommen,"
573,Baum
574,klar
575,Fuß
576,Fürst
577,insbesondere
578,
579,süß
580,getragen
581,Stunden
582,kommt
583,Bär
584,Gebühr
585,
586,Konto
587,grün
588,fast
589,Wissen
590,Tom
591,usw.
592,Papier
593,spät
594,Arm
595,
596,scheinen
597,siehe
598,sollte
599,spielen
600,
