,counts,words
0,8935452,the
1,5046453,of
2,4858750,and
3,3962396,to
4,2540085,in
5,1712166,that
6,1633535,he
7,1472478,was
8,1418407,it
9,1299927,his
10,1221896,with
11,1133684,you
12,1130595,as
13,1125543,for
14,1097403,is
15,881395,had
16,871409,not
17,814565,or
18,810894,be
19,791333,on
20,789954,at
21,787320,but
22,773163,by
23,763373,her
24,688819,this
25,658706,which
26,644169,have
27,641119,she
28,632189,from
29,618561,him
30,616086,my
31,607619,they
32,600762,all
33,517532,me
34,483627,one
35,482922,were
36,478143,so
37,474774,are
38,452807,an
39,437132,we
40,435393,said
41,416456,their
42,404460,no
43,397014,if
44,392500,there
45,378515,who
46,372500,when
47,371378,them
48,345932,will
49,339539,would
50,336825,what
51,310956,been
52,299176,out
53,287055,do
54,285241,up
55,283573,your
56,277537,more
57,270252,man
58,266293,then
59,258850,any
60,258108,into
61,252939,see
62,247354,now
63,234015,some
64,232330,other
65,230011,could
66,226722,upon
67,221553,like
68,217059,has
69,216963,time
70,215877,about
71,215567,than
72,209153,very
73,206497,our
74,199774,may
75,192956,little
76,192548,can
77,190197,its
78,189047,only
79,182352,did
80,180047,such
81,179668,us
82,178540,shall
83,177307,these
84,175797,before
85,174576,made
86,174376,two
87,172815,well
88,171072,good
89,168557,great
90,166037,know
91,164607,over
92,163429,after
93,163349,must
94,160996,should
95,160080,come
96,159345,how
97,158692,down
98,157848,gutenberg
99,153008,first
100,151849,project
101,151009,work
102,150468,old
103,150117,day
104,147672,where
105,147233,men
106,144898,much
107,143480,never
108,140885,here
109,139203,go
110,137828,came
111,136030,way
112,133147,life
113,131799,own
114,131642,most
115,130310,make
116,129854,mr
117,129405,am
118,129237,long
119,129012,say
120,127729,himself
121,127005,without
122,124992,again
123,124230,through
124,124112,being
125,122947,those
126,120148,back
127,119064,might
128,118917,even
129,118323,many
130,116803,under
131,113968,too
132,113487,people
133,113402,hand
134,112299,away
135,108383,went
136,107623,every
137,107498,thou
138,106274,think
139,105837,also
140,105362,de
141,105002,yet
142,104482,take
143,104443,eyes
144,103856,house
145,102978,still
146,100413,same
147,100176,place
148,99350,last
149,99201,thought
150,98200,let
151,97907,new
152,97546,while
153,97124,just
154,95216,found
155,92351,things
156,91662,head
157,91618,lord
158,91570,tm
159,91295,another
160,90917,nothing
161,90279,though
162,90071,give
163,89952,young
164,89324,night
165,89117,right
166,88244,king
167,87526,love
168,87428,face
169,86581,off
170,86532,god
171,86464,world
172,86211,sir
173,86006,years
174,85816,ever
175,85484,against
176,85238,three
177,84319,saw
178,84303,once
179,83086,thy
180,82081,get
181,81662,part
182,79530,tell
183,78894,left
184,78429,put
185,77927,because
186,76249,took
187,75854,look
188,75394,each
189,75280,why
190,75188,called
191,75116,name
192,74457,mind
193,74378,father
194,73451,thing
195,73259,heart
196,72791,looked
197,72403,having
198,72346,room
199,71960,set
200,70799,far
201,70756,between
202,70638,always
203,70620,woman
204,69614,full
205,68545,side
206,68541,works
207,67910,both
208,67581,seemed
209,67379,use
210,67069,got
211,67016,heard
212,66897,thee
213,66883,whom
214,66298,something
215,66231,nor
216,65289,done
217,64815,mrs
218,64672,days
219,64573,going
220,63921,state
221,63606,asked
222,63390,among
223,62666,end
224,62392,few
225,62189,find
226,61629,better
227,61581,seen
228,61352,told
229,61005,door
230,60829,light
231,60611,small
232,60593,hands
233,60540,words
234,60536,knew
235,60277,half
236,60145,used
237,60001,water
238,58945,thus
239,58844,death
240,58630,moment
241,58579,country
242,58371,mother
243,58289,enough
244,58090,word
245,57937,home
246,57329,whole
247,57252,since
248,57180,white
249,56448,land
250,55969,son
251,55494,quite
252,55166,poor
253,54571,myself
254,54511,soon
255,54398,turned
256,54228,course
257,54209,gave
258,52539,lady
259,52064,voice
260,51870,almost
261,51751,want
262,51171,whose
263,51055,within
264,50872,began
265,50748,next
266,50610,round
267,50596,brought
268,50307,cannot
269,50261,money
270,50105,anything
271,50024,law
272,50011,form
273,49878,does
274,49731,high
275,49713,kind
276,49476,power
277,49442,together
278,49326,however
279,49286,stood
280,49009,yes
281,48950,general
282,48326,perhaps
283,48283,air
284,48234,children
285,48103,rather
286,48085,until
287,47998,certain
288,47942,true
289,47657,less
290,47547,morning
291,47222,till
292,47179,best
293,47121,electronic
294,47117,sea
295,47084,others
296,47030,dear
297,46757,given
298,46696,miss
299,46518,felt
300,46490,friend
301,46387,hear
302,46350,matter
303,46322,keep
304,45941,states
305,45683,terms
306,45581,la
307,45561,public
308,45318,person
309,45169,themselves
310,45046,year
311,44990,oh
312,44979,taken
313,44787,large
314,44690,don't
315,44484,often
316,44477,earth
317,44218,body
318,43993,cried
319,43610,forth
320,43478,indeed
321,43414,feet
322,43302,hundred
323,43166,looking
324,43091,fire
325,43045,speak
326,42880,above
327,42857,wife
328,42700,four
329,42699,black
330,42662,alone
331,42573,city
332,42515,gone
333,42149,nature
334,42086,second
335,42015,times
336,41960,means
337,41841,herself
338,41802,dead
339,41452,don
340,41203,foundation
341,41077,open
342,41048,read
343,41035,present
344,41002,near
345,40996,five
346,40929,unto
347,40683,ye
348,40398,lay
349,40388,girl
350,40259,cf
351,40213,point
352,40198,help
353,40043,child
354,39973,therefore
355,39816,red
356,39697,case
357,39675,known
358,39614,leave
359,39610,along
360,39485,held
361,39470,sure
362,39419,passed
363,39326,hope
364,39320,says
365,38939,manner
366,38535,believe
367,38494,behind
368,38346,sent
369,38265,rest
370,38099,replied
371,37934,either
372,37924,order
373,37725,women
374,37709,answered
375,37681,free
376,37597,thousand
377,37538,business
378,37339,already
379,37321,boy
380,37246,return
381,36933,call
382,36888,war
383,36823,itself
384,36617,sat
385,36529,hath
386,36472,least
387,36350,hour
388,36138,obs
389,36019,several
390,36010,whether
391,35923,fact
392,35921,friends
393,35700,number
394,35693,ground
395,35638,ll
396,35441,live
397,35293,lost
398,35034,soul
399,35008,short
400,34835,united
401,34516,party
402,34414,art
403,34222,fear
404,33954,during
405,33746,received
406,33746,master
407,33736,arms
408,33634,making
409,33614,agreement
410,33585,rose
411,33479,coming
412,33466,fell
413,33163,age
414,33049,mean
415,32983,reason
416,32949,none
417,32942,turn
418,32914,hard
419,32811,sometimes
420,32805,town
421,32706,blood
422,32660,wish
423,32633,chapter
424,32601,family
425,32550,book
426,32477,really
427,32374,letter
428,32112,hold
429,32085,act
430,31937,strong
431,31749,cause
432,31660,bring
433,31660,become
434,31639,truth
435,31570,bed
436,31535,human
437,31531,horse
438,31495,dark
439,31481,mine
440,31225,became
441,31083,brother
442,31076,sun
443,31033,common
444,30873,sight
445,30772,twenty
446,30709,table
447,30648,sense
448,30599,returned
449,30536,towards
450,30495,sort
451,30362,care
452,30346,around
453,30199,eye
